cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8752,339,Uganda,34,1,2,NULL,NULL,1,Central 1,1,6,NULL,1,1,1,NULL,2,2,2,2,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1
hcw_8753,340,Uganda,34,1,2,NULL,NULL,1,Central 1,1,6,NULL,1,1,1,NULL,2,2,2,2,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,2,1
hcw_8754,341,Uganda,29,1,2,NULL,NULL,2,Central 1,1,7,Laboratory Technician,1,1,1,NULL,2,2,2,2,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,5,6,6
hcw_8755,342,Uganda,32,2,3,NULL,NULL,2,Central 1,1,6,NULL,1,1,1,NULL,1,2,3,3,2,2,6,6,6,6,2,6,6,6,6,6,2,6,7,7,7,6,6,6,2,2,2,5,1,1
hcw_8756,343,Uganda,35,2,3,NULL,NULL,4,Central 1,2,6,NULL,1,1,1,NULL,1,2,3,3,1,1,1,5,5,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,1,5,5,4,1,1
hcw_8757,344,Uganda,35,2,2,NULL,NULL,2,Central 1,2,8,NULL,1,2,1,NULL,1,2,2,2,5,4,5,3,5,5,3,5,4,5,3,3,3,2,5,5,5,3,5,5,2,5,4,5,5,3
hcw_8758,345,Uganda,40,1,3,NULL,NULL,4,Central 1,2,10,NULL,1,NULL,1,NULL,2,2,2,2,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5
hcw_8759,346,Uganda,56,1,3,NULL,NULL,6,Central 1,2,5,NULL,1,1,1,NULL,2,1,2,1,5,5,5,5,5,5,6,6,6,5,6,4,4,6,5,5,5,5,7,6,6,6,6,5,5,5
hcw_8760,347,Uganda,33,2,3,NULL,NULL,3,Central 1,2,7,Laboratory Technician,1,1,1,NULL,2,2,2,2,2,2,3,1,2,1,2,2,5,5,5,2,1,5,2,5,5,6,5,5,5,5,1,1,4,1
hcw_8761,348,Uganda,34,2,3,NULL,NULL,1,Central 1,2,3,NULL,1,1,1,NULL,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,7,7,7,7,7,6,7,7,6,6,6
hcw_8762,349,Uganda,33,2,1,NULL,NULL,2,Central 1,2,1,NULL,1,1,1,NULL,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,2,2,2
hcw_8763,350,Uganda,32,2,5,NULL,NULL,1,Central 1,2,6,NULL,7,1,5,NULL,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4
hcw_8764,351,Uganda,35,1,2,NULL,NULL,2,Central 1,1,6,NULL,1,1,1,NULL,2,2,1,2,5,1,4,5,5,5,5,5,4,5,5,4,5,5,1,5,5,5,5,5,3,1,4,5,5,5
