cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8823,410,Uganda,23,1,1,NULL,NULL,6,South Western,2,5,NULL,7,NULL,1,NULL,1,1,1,1,7,7,7,7,7,7,7,6,7,7,7,7,6,7,7,7,7,6,7,7,5,7,1,1,1,1
hcw_8824,411,Uganda,30,2,1,NULL,NULL,6,Central 1,2,7,Laboratory Technician,1,1,1,NULL,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,4,7,5,7,4,3,7,7,1,7,7,6,6,6
hcw_8825,412,Uganda,30,2,1,NULL,NULL,6,Central 1,2,7,Laboratory Technician,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,4,7,5,7,4,3,7,7,1,7,7,6,6,6
hcw_8826,413,Uganda,26,1,1,NULL,NULL,3,Central 1,2,10,NULL,12,NULL,1,NULL,2,2,1,2,5,5,5,5,5,6,5,6,5,7,5,4,6,4,5,6,5,4,6,6,6,2,4,4,4,4
hcw_8827,414,Uganda,31,1,1,NULL,NULL,6,Kampala,1,6,NULL,12,1,1,NULL,1,1,1,1,7,7,6,7,7,7,7,6,7,7,7,7,7,6,7,7,7,5,7,6,1,7,5,1,1,1
hcw_8828,415,Uganda,30,2,1,NULL,NULL,6,Central 1,2,7,Public health specialist,1,NULL,1,NULL,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5
hcw_8829,416,Uganda,28,2,1,NULL,NULL,6,Mid Northern,1,7,None,10,1,1,NULL,2,2,1,2,7,7,6,6,7,7,6,7,6,7,6,7,7,5,6,7,7,6,7,7,2,2,6,1,2,2
hcw_8830,417,Uganda,31,1,3,NULL,NULL,6,Central 1,1,6,NULL,12,1,2,NULL,2,2,2,2,5,5,5,6,5,5,5,6,1,7,3,3,3,5,3,6,5,5,5,3,3,3,3,6,6,5
hcw_8831,418,Uganda,40,1,2,NULL,NULL,2,Central 2,1,6,NULL,12,1,1,NULL,2,2,1,2,5,5,5,6,5,6,5,6,7,7,6,6,2,5,5,6,6,5,7,7,4,2,6,6,5,3
hcw_8832,419,Uganda,40,1,2,NULL,NULL,2,Central 2,1,6,NULL,12,1,1,NULL,2,2,1,2,5,5,5,6,5,6,5,6,7,7,6,6,2,5,5,6,6,5,7,7,4,2,6,6,5,3
hcw_8833,420,Uganda,24,2,1,NULL,NULL,6,Kampala,2,7,Laboratory Technician,10,NULL,1,NULL,2,2,2,2,6,6,6,6,6,6,5,6,2,6,5,6,6,6,5,6,5,5,6,6,3,6,6,2,2,2
hcw_8834,421,Uganda,50,1,3,NULL,NULL,2,Kampala,2,7,None,12,1,1,NULL,2,1,1,1,6,6,5,6,5,6,5,6,6,7,6,5,6,5,5,7,5,5,6,6,3,6,5,2,4,1
hcw_8835,422,Uganda,50,1,3,NULL,NULL,2,Kampala,2,7,Laboratory Technician,12,1,1,NULL,2,1,1,1,6,6,5,6,5,6,5,6,6,7,6,5,6,5,5,7,5,5,6,6,3,6,5,2,4,1
hcw_8836,423,Uganda,25,2,2,NULL,NULL,6,East Central,2,10,NULL,12,1,1,NULL,2,2,2,2,2,2,6,6,6,7,6,6,6,7,6,NULL,6,6,6,7,6,6,7,7,6,6,6,1,1,1
hcw_8837,424,Uganda,28,2,1,NULL,NULL,6,South Western,2,4,NULL,5,1,1,NULL,1,2,1,1,7,7,6,6,6,6,5,4,6,6,6,3,6,6,2,6,5,5,6,6,6,5,5,3,3,3
hcw_8838,425,Uganda,29,2,2,NULL,NULL,4,Mid Northern,1,10,NULL,12,1,1,NULL,3,2,3,3,2,2,5,1,5,6,5,6,7,7,5,6,6,6,5,7,6,5,7,7,6,6,6,4,4,6
hcw_8839,426,Uganda,29,2,2,NULL,NULL,4,Mid Northern,1,10,NULL,12,1,1,NULL,3,2,3,3,2,2,5,1,5,6,5,6,7,7,5,6,6,6,5,7,6,5,7,7,6,6,6,4,4,6
hcw_8840,427,Uganda,29,2,2,NULL,NULL,4,Mid Northern,1,10,NULL,12,1,1,NULL,3,2,3,3,2,2,5,1,5,6,5,6,7,7,5,6,6,6,5,7,6,5,7,7,6,6,6,4,4,6
hcw_8841,428,Uganda,25,2,1,NULL,NULL,6,South Western,2,4,NULL,8,1,1,NULL,2,2,1,2,5,2,5,6,6,2,6,6,3,7,6,3,7,6,2,6,6,5,6,6,4,6,6,3,3,2
hcw_8842,429,Uganda,31,2,3,NULL,NULL,1,Kampala,2,7,Public health health promotion,3,1,1,NULL,1,2,1,1,1,1,1,1,5,6,2,7,2,7,6,7,5,5,6,7,5,4,7,7,1,7,7,6,2,5
hcw_8843,430,Uganda,25,1,2,NULL,NULL,6,Central 1,2,6,NULL,4,NULL,2,NULL,2,2,2,2,6,6,1,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,2,6,5,4,2,2
hcw_8844,431,Uganda,40,2,3,NULL,NULL,3,Mid Northern,1,8,NULL,10,NULL,1,NULL,2,2,2,2,3,3,2,2,6,7,6,6,3,7,4,5,2,3,6,6,5,6,6,6,6,6,6,5,1,1
hcw_8845,432,Uganda,40,2,3,NULL,NULL,3,Mid Northern,2,8,NULL,1,NULL,1,NULL,2,2,2,2,2,2,6,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,5,5
hcw_8846,433,Uganda,27,1,1,NULL,NULL,4,Mid Northern,1,7,Laboratory Technician,12,1,1,NULL,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,6,6,6,6,6,6,6,6,6,6,5,2
hcw_8847,434,Uganda,28,1,3,NULL,NULL,2,Mid Northern,1,6,NULL,5,1,1,NULL,1,2,1,1,7,6,2,5,6,6,2,5,7,7,2,6,1,7,6,6,2,6,6,7,6,1,6,6,2,6
hcw_8848,435,Uganda,29,1,3,NULL,NULL,2,Mid Northern,1,6,NULL,5,1,2,NULL,1,2,1,1,7,6,2,5,6,6,2,5,7,7,2,6,1,7,6,6,2,6,6,7,6,1,6,6,2,6
hcw_8849,436,Uganda,30,2,3,NULL,NULL,2,Mid Northern,1,6,NULL,5,1,2,NULL,1,2,1,1,7,6,2,5,6,6,2,5,7,7,2,6,1,7,6,6,2,6,6,7,6,1,6,6,2,6
hcw_8850,437,Uganda,31,2,2,NULL,NULL,2,Central 1,1,2,NULL,1,1,1,NULL,2,2,1,1,1,2,6,7,5,6,6,6,2,7,6,2,7,1,6,6,6,5,6,6,5,6,6,2,2,3
hcw_8851,438,Uganda,26,2,1,NULL,NULL,6,Central 1,1,2,NULL,1,1,1,NULL,1,1,1,1,6,6,3,7,6,6,6,7,1,6,7,5,7,6,6,7,6,3,7,6,2,6,2,2,2,1
hcw_8852,439,Uganda,30,2,1,NULL,NULL,6,Central 1,1,7,Laboratory Technician,10,2,1,NULL,3,2,1,1,6,5,5,6,7,7,7,6,1,7,6,6,6,4,7,7,6,4,6,6,4,1,1,1,2,2
hcw_8853,440,Uganda,25,1,1,NULL,NULL,6,Central 1,1,5,NULL,1,1,1,NULL,1,2,1,1,7,7,7,5,7,7,7,7,7,7,7,7,7,1,1,7,7,1,7,7,2,7,7,1,1,1
hcw_8854,441,Uganda,27,1,3,NULL,NULL,6,Central 1,1,2,NULL,1,1,1,NULL,1,2,1,1,1,5,6,6,2,2,2,7,1,7,7,2,5,1,7,7,6,2,7,7,5,1,2,4,3,4
hcw_8855,442,Uganda,28,1,2,NULL,NULL,3,Central 1,1,7,Laboratory Technician,10,NULL,1,NULL,3,2,1,1,1,1,2,3,3,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,3,2,3,1,1,1
hcw_8856,443,Uganda,28,1,2,NULL,NULL,3,Central 1,1,7,Laboratory Technician,10,NULL,1,NULL,3,2,1,1,1,1,2,3,3,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,3,2,3,1,1,1
hcw_8857,444,Uganda,40,1,5,NULL,NULL,2,Central 1,1,9,NULL,1,1,1,NULL,1,1,1,1,7,7,2,5,7,7,3,7,7,7,5,5,7,1,5,7,7,1,7,7,1,7,1,1,1,1
hcw_8858,445,Uganda,31,1,2,NULL,NULL,1,Central 1,1,9,NULL,12,1,1,NULL,2,2,1,2,6,6,3,3,3,6,6,6,6,7,6,6,6,1,6,6,6,5,7,7,3,6,6,1,1,1
hcw_8859,446,Uganda,31,1,2,NULL,NULL,1,Central 1,1,9,NULL,12,1,1,NULL,2,2,1,2,6,6,3,3,3,6,6,6,6,7,6,6,6,1,6,6,6,5,7,7,3,6,6,1,1,1
hcw_8860,447,Uganda,26,2,1,NULL,NULL,6,Central 1,1,7,Laboratory Technician,10,2,1,NULL,1,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,6,1,7,7,6,6,7,6,6,6,7,1,2,2
hcw_8861,448,Uganda,26,2,2,NULL,NULL,1,Central 1,1,2,NULL,1,1,1,NULL,1,1,1,1,5,5,6,6,6,6,6,7,1,7,7,7,7,1,6,7,6,3,6,6,2,3,5,2,2,2
hcw_8862,449,Uganda,30,2,3,NULL,NULL,2,Central 1,1,2,NULL,1,1,1,NULL,1,2,1,1,7,7,5,7,3,7,5,7,2,7,7,2,6,1,7,7,7,2,7,7,7,4,2,1,1,1
hcw_8863,450,Uganda,26,1,1,NULL,NULL,3,Central 1,1,2,NULL,12,1,1,NULL,1,1,1,1,5,6,6,6,5,5,2,3,6,6,6,5,7,5,5,7,6,4,7,7,5,7,3,5,1,2
hcw_8864,451,Uganda,27,1,3,NULL,NULL,6,Central 1,1,6,NULL,1,2,1,NULL,1,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
hcw_8865,452,Uganda,25,2,1,NULL,NULL,6,Central 1,1,6,NULL,1,2,1,NULL,1,2,1,1,7,7,6,7,6,6,6,6,6,7,7,7,7,1,6,7,7,7,7,7,5,7,7,1,2,2
hcw_8866,453,Uganda,25,1,1,NULL,NULL,2,Central 1,1,2,NULL,1,1,1,NULL,1,2,1,1,3,2,2,6,3,5,1,1,4,7,5,1,4,1,5,6,5,4,7,7,3,7,2,5,5,5
hcw_8867,454,Uganda,27,1,4,NULL,NULL,1,Central 1,1,5,NULL,12,NULL,1,NULL,2,2,1,2,7,7,7,7,6,7,6,7,1,7,7,7,7,1,6,7,7,5,1,5,1,1,7,1,1,1
hcw_8868,455,Uganda,26,1,5,NULL,NULL,1,Central 1,1,6,NULL,2,2,1,NULL,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5
hcw_8869,456,Uganda,32,1,3,NULL,NULL,2,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,1,7,7,6,7,7,7,7,7,2,7,7,7,7,1,7,7,7,2,7,7,2,7,6,1,1,1
hcw_8870,457,Uganda,27,1,1,NULL,NULL,3,Central 1,1,2,NULL,1,1,1,NULL,1,1,1,1,5,3,5,5,6,6,2,3,6,7,5,2,2,1,6,7,7,3,7,7,2,7,3,2,2,2
hcw_8871,458,Uganda,28,1,2,NULL,NULL,6,Central 1,1,6,NULL,5,2,1,NULL,1,1,1,1,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,2,2
hcw_8872,459,Uganda,30,1,1,NULL,NULL,7,Central 1,1,6,NULL,5,2,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6
hcw_8873,460,Uganda,37,1,5,NULL,NULL,1,Central 1,1,5,NULL,1,1,1,NULL,1,1,1,1,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8874,461,Uganda,22,1,1,NULL,NULL,6,Central 1,1,5,NULL,5,2,1,NULL,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,1,1,1
hcw_8875,462,Uganda,23,1,1,NULL,NULL,6,Central 1,1,5,NULL,2,2,1,NULL,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8876,463,Uganda,27,1,1,NULL,NULL,1,Central 1,1,9,NULL,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8877,464,Uganda,25,1,1,NULL,NULL,6,Central 1,1,10,NULL,1,NULL,1,NULL,2,2,1,2,7,7,7,7,7,7,7,7,3,7,7,7,7,4,7,7,7,7,7,7,5,7,7,1,1,5
hcw_8878,465,Uganda,29,1,1,NULL,NULL,6,Central 1,1,9,NULL,12,2,1,NULL,3,3,1,1,7,6,4,6,7,7,2,6,3,6,7,6,7,6,6,7,7,4,6,6,6,6,6,3,4,4
hcw_8879,466,Uganda,25,1,2,NULL,NULL,6,Central 1,1,5,NULL,8,2,1,NULL,1,3,1,1,7,6,2,6,6,6,6,6,3,6,5,6,5,3,6,7,6,3,6,6,3,5,3,1,2,2
hcw_8880,467,Uganda,26,1,2,NULL,NULL,6,Central 1,1,6,NULL,12,2,1,NULL,1,2,1,1,7,7,5,1,6,7,6,5,6,6,6,5,6,4,7,7,6,5,7,7,5,6,5,5,1,2
hcw_8881,468,Uganda,23,1,8,NULL,NULL,2,Central 1,1,9,NULL,12,1,2,NULL,2,2,1,2,7,7,4,7,6,7,6,6,3,7,6,6,6,4,6,7,7,6,4,5,5,6,6,1,1,1
hcw_8882,469,Uganda,31,1,3,NULL,NULL,2,Kampala,1,9,NULL,12,1,1,NULL,1,2,1,1,7,7,5,7,1,7,4,4,4,7,5,5,7,2,2,6,5,2,6,6,7,5,3,6,5,5
hcw_8883,470,Uganda,24,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,1,6,6,5,6,6,6,6,6,5,6,7,7,7,6,7,7,7,7,7,7,6,7,7,6,6,6
hcw_8884,471,Uganda,23,2,2,NULL,NULL,1,Central 1,1,10,NULL,12,1,1,NULL,1,1,1,1,7,7,4,4,1,1,1,1,1,6,6,6,6,6,7,7,7,7,6,6,6,6,7,1,1,1
hcw_8885,472,Uganda,24,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,1,6,6,5,6,6,6,6,6,5,6,7,7,7,6,7,7,7,7,7,7,6,7,7,6,6,6
hcw_8886,473,Uganda,23,1,1,NULL,NULL,6,Central 1,1,5,NULL,2,2,1,NULL,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8887,474,Uganda,25,2,1,NULL,NULL,3,Central 1,1,10,NULL,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8888,475,Uganda,26,2,1,NULL,NULL,6,Central 1,1,2,NULL,1,1,1,NULL,1,1,1,1,7,6,6,6,6,6,6,5,5,6,6,3,2,6,6,6,5,5,6,6,6,6,6,2,1,2
hcw_8889,476,Uganda,27,1,3,NULL,NULL,1,Central 1,1,9,NULL,12,1,1,NULL,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,6,1,1,1
hcw_8890,477,Uganda,27,1,1,NULL,NULL,1,Central 1,1,9,NULL,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8891,478,Uganda,26,2,1,NULL,NULL,6,Central 1,1,10,NULL,12,1,1,NULL,2,3,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,7,4,6,6,6
hcw_8892,479,Uganda,27,1,1,NULL,NULL,1,Central 1,1,9,NULL,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8893,480,Uganda,22,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,2,1,1,1
hcw_8894,481,Uganda,23,1,1,NULL,NULL,7,Central 1,1,5,NULL,12,1,1,NULL,1,2,1,1,6,6,2,6,6,7,3,6,2,7,3,5,6,3,6,6,6,5,7,7,7,6,2,1,5,5
hcw_8895,482,Uganda,29,2,2,NULL,NULL,1,Central 1,1,2,NULL,1,2,1,NULL,1,2,1,1,7,7,2,7,7,4,4,4,5,4,4,NULL,4,4,4,4,4,4,7,7,7,7,7,3,3,3
hcw_8896,483,Uganda,27,1,1,NULL,NULL,1,Central 1,1,9,NULL,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1
hcw_8897,484,Uganda,24,1,1,NULL,NULL,1,Central 1,1,9,NULL,1,1,1,NULL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hcw_8898,485,Uganda,23,1,1,NULL,NULL,2,Central 1,1,5,NULL,1,1,1,NULL,2,2,1,1,7,7,7,7,7,7,6,6,6,7,7,6,7,6,7,7,7,7,7,7,1,6,2,1,1,1
hcw_8899,486,Uganda,25,2,1,NULL,NULL,6,Mid Northern,2,7,None,10,2,2,NULL,1,1,1,1,7,7,7,7,7,7,6,6,7,7,7,5,7,7,6,6,6,7,7,7,5,5,6,3,3,3
hcw_8900,487,Uganda,27,2,3,NULL,NULL,3,Kampala,1,10,NULL,12,1,1,NULL,1,2,2,2,3,3,1,1,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
hcw_8901,488,Uganda,25,1,1,NULL,NULL,3,East Central,2,8,NULL,1,1,3,NULL,3,3,2,2,5,1,7,7,7,7,7,7,7,7,7,1,1,7,7,7,7,7,7,7,7,7,1,6,6,6
hcw_8902,489,Uganda,26,1,3,NULL,NULL,2,East Central,2,8,NULL,12,1,1,NULL,2,2,1,1,2,5,2,2,6,7,2,6,2,6,6,2,2,6,2,6,6,6,6,6,2,6,2,5,5,5
hcw_8903,490,Uganda,21,1,1,NULL,NULL,6,Central 1,1,10,NULL,12,1,1,NULL,2,2,2,2,2,2,3,3,2,3,3,5,3,5,3,NULL,4,5,3,3,3,3,3,4,3,4,3,3,2,3
hcw_8904,491,Uganda,34,2,3,NULL,NULL,4,Kampala,2,10,NULL,12,NULL,6,NULL,2,2,1,2,1,1,2,5,6,5,1,7,5,6,3,3,5,5,5,7,4,5,7,7,6,7,5,4,4,4
hcw_8905,492,Uganda,36,2,3,NULL,NULL,2,Mid Northern,1,8,NULL,12,1,2,NULL,2,2,1,2,6,6,7,6,6,7,7,6,7,7,7,6,6,6,6,6,6,6,6,7,2,2,6,5,5,5
hcw_8906,493,Uganda,36,2,3,NULL,NULL,2,Mid Northern,1,8,NULL,12,1,2,NULL,2,2,1,2,6,6,7,6,6,7,7,6,7,7,7,6,6,6,6,6,6,6,6,7,2,2,6,5,5,5
hcw_8907,494,Uganda,36,2,3,NULL,NULL,2,Mid Northern,1,8,NULL,12,1,2,NULL,2,2,1,2,6,6,7,6,6,7,7,6,7,7,7,6,6,6,6,6,6,6,6,7,2,2,6,5,5,5
hcw_8908,495,Uganda,27,1,1,NULL,NULL,6,Mid Northern,2,8,NULL,4,NULL,2,NULL,2,2,1,2,6,6,6,6,5,5,6,5,6,6,5,5,6,4,5,5,5,6,6,6,6,6,5,5,5,5
hcw_8909,496,Uganda,34,2,5,NULL,NULL,1,East Central,2,10,NULL,10,1,1,NULL,2,2,3,2,5,5,2,1,5,7,2,7,1,7,7,6,4,6,5,7,7,6,6,6,3,6,6,3,2,1
hcw_8910,497,Uganda,35,2,3,NULL,NULL,2,East Central,2,7,Laboratory Technician,10,2,1,NULL,1,2,1,1,7,7,5,2,3,2,3,6,3,2,4,4,7,5,4,1,6,5,1,1,4,2,3,6,4,6
hcw_8911,498,Uganda,32,2,3,NULL,NULL,3,East Central,2,6,NULL,1,2,1,NULL,2,2,1,1,2,2,2,7,2,7,2,6,6,6,6,6,2,2,2,6,6,6,7,7,2,5,2,6,3,6
hcw_8912,499,Uganda,35,1,3,NULL,NULL,3,East Central,2,7,None,1,1,1,NULL,2,2,2,2,1,1,5,6,6,7,7,7,2,7,6,7,7,5,5,7,7,2,5,6,2,7,7,6,6,2
hcw_8913,500,Uganda,35,1,3,NULL,NULL,3,East Central,2,7,None,1,1,1,NULL,2,2,2,2,1,1,5,6,6,7,7,7,2,7,6,7,7,5,5,7,7,2,5,6,2,7,7,6,6,2
hcw_8914,501,Uganda,27,1,1,NULL,NULL,3,Mid Northern,2,10,NULL,12,NULL,3,NULL,2,2,2,2,1,1,6,6,6,6,5,6,6,7,6,6,2,6,6,6,6,6,7,7,7,6,5,2,2,2
hcw_8915,502,Uganda,25,2,1,NULL,NULL,5,Mid Northern,2,10,NULL,12,NULL,5,NULL,2,2,2,2,4,4,4,4,4,4,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,5,5,5
hcw_8916,503,Uganda,25,1,1,NULL,NULL,6,Kampala,1,7,None,10,1,1,NULL,2,2,2,2,6,2,6,6,6,7,6,6,6,7,6,NULL,6,6,6,7,6,6,7,7,6,6,6,1,1,1
hcw_8917,504,Uganda,29,1,2,NULL,NULL,3,Mid Northern,1,6,NULL,1,1,1,NULL,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1
hcw_8918,505,Uganda,50,1,7,NULL,NULL,3,Central 1,2,6,NULL,1,1,1,NULL,2,2,1,2,2,2,2,6,5,6,6,6,6,6,2,6,2,2,6,6,6,6,6,6,6,6,6,6,2,2
hcw_8919,506,Uganda,50,1,7,NULL,NULL,3,Central 1,2,6,NULL,1,1,1,NULL,2,2,1,2,2,2,2,6,5,6,6,6,6,6,2,6,2,2,6,6,6,6,6,6,6,6,6,6,2,2
hcw_8920,507,Uganda,24,1,1,NULL,NULL,2,Mid Northern,2,8,NULL,7,2,5,NULL,3,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1
hcw_8921,508,Uganda,34,1,3,NULL,NULL,2,Central 1,2,8,NULL,1,1,1,NULL,1,1,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,1,1,1
hcw_8922,509,Uganda,38,1,3,NULL,NULL,2,Central 1,2,6,NULL,11,1,1,NULL,2,2,1,2,2,2,6,6,6,7,6,6,1,7,7,7,2,6,6,7,7,6,6,7,1,6,6,6,1,1
hcw_8923,510,Uganda,42,2,3,NULL,NULL,4,Central 1,2,6,NULL,1,1,1,NULL,1,2,1,2,7,7,5,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,1,1
hcw_8924,511,Uganda,45,2,3,NULL,NULL,5,Central 1,2,7,Lab volunteer,1,1,1,NULL,1,2,1,1,2,2,6,6,6,6,5,6,6,6,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,5
hcw_8925,512,Uganda,33,1,2,NULL,NULL,3,Central 1,2,6,NULL,1,1,1,NULL,2,2,1,2,1,2,2,6,2,6,2,6,2,7,6,2,5,2,6,7,6,5,7,7,5,1,1,6,1,1
hcw_8926,513,Uganda,33,1,2,NULL,NULL,3,Central 1,2,6,NULL,1,1,1,NULL,2,2,1,2,1,2,2,6,2,6,2,6,2,7,6,2,5,2,6,7,6,5,7,7,5,1,1,6,1,1
hcw_8927,514,Uganda,23,1,1,NULL,NULL,6,Central 1,2,6,NULL,1,1,1,NULL,2,2,1,2,6,2,7,7,6,7,7,7,1,7,7,7,7,7,6,7,7,5,7,6,2,6,7,1,1,1
hcw_8928,515,Uganda,44,1,3,NULL,NULL,2,Central 1,2,5,NULL,1,1,1,NULL,1,1,1,1,2,2,6,6,6,7,7,7,1,7,7,3,7,7,6,7,7,6,7,7,2,7,6,6,6,6
hcw_8929,516,Uganda,39,1,3,NULL,NULL,2,Central 1,2,5,NULL,8,1,1,NULL,1,2,1,2,5,6,2,6,6,6,5,6,1,6,6,6,2,6,6,6,7,2,6,6,7,6,6,2,1,1
hcw_8930,517,Uganda,35,1,3,NULL,NULL,4,Central 1,2,7,Laboratory Technician,1,2,1,NULL,2,2,1,2,5,5,6,7,6,7,5,7,6,7,6,5,5,5,7,7,7,5,7,7,5,7,7,5,3,2
hcw_8931,518,Uganda,29,1,3,NULL,NULL,1,Central 1,2,6,NULL,1,1,1,NULL,1,1,1,2,1,1,5,7,7,7,5,7,7,7,7,7,1,7,7,7,7,3,7,7,1,7,7,1,1,1
hcw_8932,519,Uganda,27,2,3,NULL,NULL,4,Central 1,2,6,NULL,1,1,5,NULL,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,7,1,1,1,1,1,1,1
hcw_8933,520,Uganda,30,2,8,NULL,NULL,5,Mid Northern,1,10,NULL,12,NULL,6,NULL,3,2,1,2,6,6,1,1,5,5,5,5,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,1,1,2
hcw_8934,521,Uganda,52,1,3,NULL,NULL,5,Central 1,2,5,NULL,1,1,1,NULL,2,2,1,2,1,1,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,6,6,6
hcw_8935,522,Uganda,29,1,1,NULL,NULL,6,Central 1,2,7,Data officer,1,NULL,1,NULL,2,2,2,2,6,6,6,5,7,7,6,6,1,7,4,4,2,7,7,7,7,7,6,6,2,7,6,1,2,2
hcw_8936,523,Uganda,25,1,2,NULL,NULL,1,Central 1,2,7,Data officer,1,NULL,1,NULL,2,2,2,2,6,6,5,6,5,6,6,6,6,6,6,6,1,5,6,6,6,6,6,6,5,5,5,3,4,4
hcw_8937,524,Uganda,27,2,2,NULL,NULL,6,Mid Northern,1,7,Clinical officer,1,1,1,NULL,1,2,1,1,6,5,7,6,6,7,6,7,5,7,6,6,6,2,6,7,6,3,7,7,2,6,2,3,3,2
hcw_8938,525,Uganda,30,2,8,NULL,NULL,7,Central 1,2,10,NULL,1,1,1,NULL,3,2,1,2,6,5,5,5,3,5,5,6,4,6,6,4,1,4,6,6,6,6,5,5,5,6,5,4,5,5
hcw_8939,526,Uganda,27,1,1,NULL,NULL,1,Central 1,2,7,Data officer,1,1,5,NULL,2,2,2,2,1,1,2,6,6,6,5,7,2,7,6,1,1,1,5,6,6,5,7,7,7,7,7,6,6,6
hcw_8940,527,Uganda,27,1,2,NULL,NULL,2,Central 1,2,7,Records officer,1,NULL,1,NULL,2,2,2,2,1,2,3,3,3,1,1,1,1,1,1,3,2,1,1,1,1,3,1,1,3,3,3,3,2,1
hcw_8941,528,Uganda,52,1,3,NULL,NULL,5,Central 1,2,5,NULL,1,1,1,NULL,2,2,1,2,1,1,2,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,6,6,6
hcw_8942,529,Uganda,17,1,1,NULL,NULL,7,Central 1,2,7,Data officer,1,1,1,NULL,2,2,2,2,6,6,6,6,7,7,6,7,7,6,5,2,1,2,6,6,6,5,7,7,7,7,7,6,6,6
