id,d_age_i,gen,d_edu_c_o,d_marital_c_u,d_chdn_i,e_ever_worked_c_u,e_ever_cared_c_u,e_ever_contact_c_u,e_do_care_c_o,e_contact_type_c_o,e_aerosol_c_o,i_n95_c_o,i_mask_c_o,i_hand_hyg_c_o,i_gown_c_o,i_apron_c_o,i_full_suit_c_o,i_gloves_c_o,i_eye_protect_c_o,i_sing_use_eqps_c_o,s_can_followc_o,s_can_protect_c_0,s_is_proected,s_is_straining_c_o,s_will_use_c_o,s_proto_exists_c_o,s_can_access_ppe_c_o,s_has_iso_fac,s_know_cont_c_o,s_get_supp_c_o,s_coll_follow_c_o,s_expected_i_fllw_c_o,s_enco_supp_c_o,s_risk_concd_c_o,s_fam_concd_c_o,s_is_afraid_c_o,s_accept_c_o,s_my_ctrl_c_o,f_cmpt_c_o,f_hnst_c_o,f_best_int_c_o,s_cont_mge_c_o,s_ipc_skill_c_o,s_received_training,s_can_don_c_o,Country
1,20,2,1,2,2,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,Ghana
2,20,1,1,0,0,0,1,1,1,2,0,,,,,,,,,,1,1,1,1,-1,-1,-1,1,-1,0,-1,1,-1,1,1,-1,1,-1,-2,1,0,-2,1,1,-1,Ghana
3,21,2,1,1,1,0,0,1,0,,,,,,,,,,,,1,1,1,1,2,2,-1,2,2,-1,2,2,2,2,2,-2,2,2,2,2,2,1,1,0,1,Ghana
4,21,1,1,1,0,0,0,1,0,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,-2,1,1,1,1,1,1,1,1,1,2,2,0,1,1,1,Ghana
5,21,,1,1,0,0,0,0,2,,,,,,,,,,,,2,1,1,2,,0,1,0,1,0,1,0,1,2,1,1,2,1,1,1,1,-1,-1,-2,-1,Ghana
6,22,2,1,1,0,0,0,1,0,,,,,,,,,,,,-1,1,1,0,2,-2,-2,2,1,0,-2,1,-2,1,1,0,1,1,1,-1,-1,1,-1,-1,-1,Ghana
7,22,2,1,1,3,0,0,0,0,,,,,,,,,,,,2,2,1,2,2,2,2,2,-1,2,2,2,1,0,2,-2,2,2,1,2,2,0,1,2,0,Ghana
8,22,2,0,1,0,2,2,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,-2,2,2,-1,2,2,-1,2,2,1,Ghana
9,22,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,Ghana
10,22,1,1,1,0,0,0,2,2,,,,,,,,,,,,2,2,2,-2,2,2,2,2,2,2,2,2,2,-2,-2,-2,2,2,2,2,2,2,2,2,2,Ghana
11,22,1,1,0,1,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,0,2,1,2,2,2,2,2,2,2,Ghana
12,22,1,1,0,2,0,0,0,0,,,,,,,,,,,,2,2,2,-2,2,2,2,0,2,2,2,2,2,2,2,-2,-1,0,0,2,2,1,2,2,1,Ghana
13,22,,1,1,2,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Ghana
14,23,2,0,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,-1,2,1,-1,-2,1,1,1,2,1,2,2,-1,2,2,-1,1,2,-1,1,-1,1,Ghana
15,23,2,0,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,1,2,2,1,-1,2,1,2,2,2,2,-2,1,1,1,-1,,2,2,Ghana
16,23,2,0,1,0,0,0,1,2,,,,,,,,,,,,1,2,1,-1,2,1,1,2,2,0,1,1,0,2,2,0,1,0,1,0,0,0,1,1,1,Ghana
17,23,2,0,0,0,0,0,0,0,,,,,,,,,,,,1,0,1,-1,2,2,2,-1,2,0,2,2,2,0,2,-1,2,-1,1,0,0,1,1,-1,2,Ghana
18,23,2,1,1,0,0,0,0,0,,,,,,,,,,,,1,1,0,1,2,1,2,1,1,0,1,2,1,2,2,2,1,0,0,1,0,1,1,1,1,Ghana
19,23,2,1,1,0,0,0,0,0,,,,,,,,,,,,1,2,1,-1,2,1,-1,2,0,1,1,2,2,1,0,0,1,-1,-1,0,1,-1,1,1,0,Ghana
20,23,2,1,1,0,0,0,0,0,,,,,,,,,,,,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,-2,0,0,1,2,1,1,2,2,2,Ghana
21,23,2,1,1,0,0,0,1,0,,,,,,,,,,,,1,2,0,1,2,2,-2,1,-2,0,2,2,2,0,0,1,0,0,0,0,0,-1,1,0,1,Ghana
22,23,2,1,1,0,0,0,1,0,,,,,,,,,,,,1,2,1,-1,1,2,1,2,-2,2,2,2,2,2,2,2,2,-2,2,-1,2,2,-2,-1,-2,Ghana
23,23,2,1,1,0,0,0,1,0,,,,,,,,,,,,2,2,1,1,2,2,-2,-2,-2,-2,2,1,2,2,2,-1,0,2,1,1,-1,-2,1,1,1,Ghana
24,23,2,1,1,0,0,0,1,1,3,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,Ghana
25,23,2,1,1,0,0,1,1,1,1,,,,,,,,,,,2,2,1,1,2,1,-1,2,1,2,1,2,2,2,2,1,2,1,-1,-1,-1,-1,-1,-1,2,Ghana
26,23,2,1,1,1,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,Ghana
27,23,2,1,1,2,0,0,0,0,,,,,,,,,,,,2,2,1,0,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,Ghana
28,23,2,1,1,3,0,0,1,1,1,,,,,,,,,,,1,1,1,-1,1,1,-1,1,-1,1,1,2,2,1,1,-1,1,1,1,1,1,1,-1,-1,1,Ghana
29,23,2,1,0,0,0,0,1,1,3,,,,,,,,,,,2,2,1,0,2,0,-2,2,1,2,1,2,1,1,0,-2,1,-1,1,1,-2,-1,0,0,2,Ghana
30,23,1,0,1,0,0,0,1,0,,,,,,,,,,,,1,2,2,0,2,2,1,2,2,2,2,2,2,2,2,2,2,-2,1,2,2,-1,2,1,1,Ghana
31,23,1,1,1,0,0,0,1,1,2,0,,,,,,,,,,1,2,1,1,2,0,1,1,-1,1,1,1,1,1,1,0,-1,-1,0,-1,-1,0,-1,-1,-1,Ghana
32,23,1,1,1,0,0,1,1,1,2,0,,,,,,,,,,1,1,1,-1,2,-2,-1,1,-2,2,1,2,1,2,2,1,-2,1,-1,-1,-1,0,-2,-2,-2,Ghana
33,23,1,1,1,0,0,1,1,1,3,,,,,,,,,,,1,2,1,0,1,0,0,-2,1,-2,1,1,1,1,1,0,2,1,-1,-1,1,-1,-1,-2,-1,Ghana
34,23,1,1,0,2,0,1,1,1,1,,,,,,,,,,,0,2,1,2,1,1,0,2,1,1,1,2,2,1,2,-1,2,-2,2,1,2,1,1,1,0,Ghana
35,23,,0,1,0,0,0,0,0,,,,,,,,,,,,2,2,2,-2,2,2,2,2,2,-2,2,2,2,2,2,-2,2,2,2,2,2,2,2,2,2,Ghana
36,23,,1,1,0,0,0,0,0,,,,,,,,,,,,1,2,1,-1,2,1,-1,2,0,1,1,2,2,1,0,0,1,-1,-1,0,1,-1,1,1,0,Ghana
37,23,,1,1,0,0,0,1,1,2,0,,,,,,,,,,1,2,1,1,2,-2,1,2,-2,0,2,2,1,2,2,1,-1,-1,-1,-1,-1,-1,-2,-2,-1,Ghana
38,23,,1,1,0,0,0,1,1,2,0,,,,,,,,,,2,2,2,-1,2,1,-1,2,1,1,2,2,2,1,2,-1,1,1,1,0,1,-1,2,2,2,Ghana
39,23,,1,1,1,0,0,1,1,3,,,,,,,,,,,2,2,0,-1,2,1,1,2,-1,1,1,1,1,2,2,1,1,-1,1,-2,-2,1,-1,-2,-1,Ghana
40,23,,1,1,1,1,0,0,1,1,,,,,,,,,,,1,0,-1,0,-1,-2,0,-2,0,-2,-1,0,-1,-1,-2,-2,0,-1,0,0,,0,-1,-1,1,Ghana
41,23,,1,1,1,0,0,0,0,,,,,,,,,,,,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,0,2,2,1,1,1,-2,2,-1,2,Ghana
42,23,,1,1,1,1,1,1,2,,,,,,,,,,,,1,-1,-1,1,-1,0,1,2,-2,-2,1,-1,0,0,0,0,1,0,1,0,0,0,1,0,1,Ghana
43,23,,1,1,2,1,1,1,0,,,,,,,,,,,,2,1,1,-1,1,1,1,1,1,1,1,2,2,2,2,2,2,,2,1,1,1,1,-1,-1,Ghana
44,23,,0,1,2,1,1,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,-2,2,-2,2,2,2,2,2,-2,2,2,-2,1,2,2,2,2,2,Ghana
45,24,2,0,1,0,0,0,0,0,,,,,,,,,,,,2,2,2,2,2,2,0,0,0,-2,2,2,2,2,2,0,2,2,0,0,0,-2,2,2,2,Ghana
46,24,2,0,1,0,1,2,2,2,,,,,,,,,,,,2,2,2,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,0,2,2,2,2,Ghana
47,24,2,0,1,0,1,1,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,-2,-1,2,2,1,2,2,1,-1,2,Ghana
48,24,2,0,1,0,1,1,1,1,2,0,,,,,,,,,,2,2,2,-2,2,2,1,1,2,1,2,2,2,2,2,1,1,-1,-1,1,2,1,2,2,2,Ghana
49,24,2,0,1,1,1,1,1,1,3,,,,,,,,,,,2,1,1,1,2,1,2,2,2,1,1,2,2,2,2,0,0,-1,1,2,1,1,2,1,1,Ghana
50,24,2,0,1,1,0,0,1,1,1,,,,,,,,,,,2,2,2,1,2,2,2,2,2,0,2,2,2,2,2,-2,2,0,2,2,2,2,2,2,2,Ghana
51,24,2,0,2,0,0,0,1,0,,,,,,,,,,,,1,2,2,-1,2,2,2,2,2,-2,2,2,2,2,2,-2,-2,0,1,2,2,2,2,1,1,Ghana
52,24,2,0,2,0,0,0,1,1,1,,,,,,,,,,,1,2,2,0,2,1,1,0,1,0,2,2,2,2,2,2,1,2,1,0,0,1,2,1,1,Ghana
53,24,2,0,2,0,1,1,1,1,2,2,,,,,,,,,,2,2,2,2,1,1,0,1,2,2,0,1,1,1,2,-1,2,-2,1,2,1,1,1,1,1,Ghana
54,24,2,0,2,1,1,0,1,0,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,-1,2,2,1,2,2,2,2,2,2,Ghana
55,24,2,0,,0,1,1,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,-2,-1,2,2,1,2,2,1,-1,2,Ghana
56,24,2,0,0,0,0,0,1,0,,,,,,,,,,,,1,1,2,-2,1,1,-1,2,0,1,-1,2,0,0,-1,-1,0,0,1,1,1,2,1,1,0,Ghana
57,24,2,0,0,2,0,0,2,0,,,,,,,,,,,,1,0,1,-1,2,2,-2,2,-1,2,1,2,2,1,2,0,2,0,2,0,1,2,-2,-2,1,Ghana
58,24,2,0,0,2,1,1,0,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,-2,1,2,2,2,2,2,1,-1,2,Ghana
59,24,2,1,1,0,0,0,1,0,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,-1,-1,-1,1,-1,Ghana
60,24,2,1,1,0,0,0,1,0,,,,,,,,,,,,1,1,1,2,2,1,-1,0,0,0,1,2,2,2,2,0,2,2,0,0,1,0,-1,1,0,Ghana
61,24,2,1,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,1,2,1,1,1,0,0,1,2,1,2,2,1,2,0,1,1,1,1,1,1,1,Ghana
62,24,2,1,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,-2,2,2,1,2,1,-2,1,2,1,2,2,-2,2,2,1,1,0,2,-1,-1,-1,Ghana
63,24,2,1,1,0,0,0,1,1,2,0,,,,,,,,,,1,2,2,-2,2,-1,-2,2,0,0,0,2,0,2,2,-1,2,1,-1,-1,0,1,2,1,-1,Ghana
64,24,2,1,1,0,0,0,1,1,3,,,,,,,,,,,2,1,2,2,2,2,1,2,1,2,2,2,2,0,1,0,0,0,2,2,2,1,0,0,1,Ghana
65,24,2,1,1,0,0,0,1,1,3,,,,,,,,,,,2,2,1,2,2,1,0,-2,2,-2,1,2,2,2,2,-1,2,-2,-1,1,1,0,-1,-1,2,Ghana
66,24,2,1,1,0,0,2,1,1,1,,,,,,,,,,,1,-1,1,1,2,1,-1,2,1,0,1,2,0,2,2,2,2,0,1,1,1,1,0,0,1,Ghana
67,24,2,1,1,0,2,0,2,0,,,,,,,,,,,,1,0,1,0,2,0,-1,-2,-1,0,1,2,1,-1,2,-1,2,-1,-2,0,1,0,1,1,-1,Ghana
68,24,2,1,1,0,1,1,2,1,3,,,,,,,,,,,2,2,2,2,2,1,0,-1,1,-2,2,2,2,2,2,2,2,2,0,0,0,0,1,-1,0,Ghana
69,24,2,1,1,1,0,0,0,0,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,-1,-1,2,Ghana
70,24,2,1,1,1,0,0,0,0,,,,,,,,,,,,-2,-2,1,1,-1,2,-1,1,-1,-1,-2,-1,1,2,2,-1,2,1,-1,-1,-1,-2,-2,-2,-2,Ghana
71,24,2,1,1,1,0,0,1,0,,,,,,,,,,,,2,2,2,-1,2,1,1,2,2,1,2,2,2,1,2,-2,2,0,1,1,2,1,2,1,1,Ghana
72,24,2,1,1,1,0,0,1,1,1,,,,,,,,,,,2,2,2,2,2,2,1,1,1,-1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,Ghana
73,24,2,1,1,2,1,1,0,1,1,,,,,,,,,,,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,0,2,0,1,2,2,1,0,0,1,Ghana
74,24,2,1,2,0,0,0,1,0,,,,,,,,,,,,-2,2,1,2,2,2,1,2,-1,2,2,2,2,2,2,0,2,2,2,1,2,2,2,-2,-2,Ghana
75,24,2,1,2,0,0,2,1,1,3,,,,,,,,,,,2,1,1,-1,2,-1,1,2,-1,1,2,2,2,1,1,1,1,0,0,-1,1,-2,-2,-2,1,Ghana
76,24,2,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
77,24,2,1,0,0,0,0,1,0,,,,,,,,,,,,0,0,1,1,2,0,0,-2,-1,-1,1,2,1,2,2,0,2,1,0,0,0,0,0,0,0,Ghana
78,24,2,1,0,0,0,0,1,0,,,,,,,,,,,,1,1,0,0,2,0,1,0,2,0,2,2,1,2,2,0,0,-1,0,0,1,1,0,0,-1,Ghana
79,24,2,1,0,0,0,0,1,0,,,,,,,,,,,,1,1,1,1,2,2,1,1,1,0,1,2,2,2,2,0,0,0,1,1,1,0,2,0,0,Ghana
80,24,2,1,0,0,0,1,1,0,,,,,,,,,,,,1,2,2,-1,2,2,1,-2,2,-1,1,2,1,2,2,2,2,2,-2,2,2,1,-1,0,0,Ghana
81,24,2,1,0,0,1,0,1,0,,,,,,,,,,,,1,2,2,0,2,2,2,-1,1,0,2,2,2,-2,-2,-2,2,2,-1,2,2,-2,-2,0,2,Ghana
82,24,2,1,0,1,0,0,1,2,,,,,,,,,,,,1,2,1,0,2,1,-1,-2,-1,-1,0,2,0,1,2,0,1,1,-1,-1,0,0,-1,0,0,Ghana
83,24,2,2,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,Ghana
84,24,1,0,1,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,-2,-2,1,2,2,1,2,2,-2,2,2,-2,1,1,-2,0,-2,0,Ghana
85,24,1,0,1,0,0,0,1,2,,,,,,,,,,,,0,1,1,0,2,1,-1,2,1,0,1,2,1,1,2,-1,2,1,2,-1,1,2,1,0,-1,Ghana
86,24,1,0,1,0,1,0,0,0,,,,,,,,,,,,2,2,2,-2,2,2,2,-2,2,-2,2,2,2,2,2,2,-2,2,-2,0,2,-2,2,2,2,Ghana
87,24,1,0,1,1,1,1,1,1,3,,,,,,,,,,,2,2,2,2,2,2,1,2,1,1,1,2,2,0,0,0,0,0,1,2,2,1,2,1,2,Ghana
88,24,1,0,2,0,0,0,1,1,1,,,,,,,,,,,1,2,2,1,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,0,1,2,1,2,1,Ghana
89,24,1,1,1,0,0,0,1,0,,,,,,,,,,,,1,,1,0,1,0,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,-2,-1,-1,-2,1,0,1,Ghana
90,24,1,1,1,0,0,0,1,0,,,,,,,,,,,,1,2,2,0,2,1,-1,2,2,1,1,2,1,2,2,1,2,1,2,0,0,0,-1,-2,1,Ghana
91,24,1,1,1,0,0,0,1,0,,,,,,,,,,,,2,1,1,-1,2,2,1,1,2,2,1,2,1,2,2,-1,0,0,1,1,2,-1,1,1,1,Ghana
92,24,1,1,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,-1,2,2,1,2,2,2,2,2,1,2,1,2,2,1,2,1,2,2,1,1,2,Ghana
93,24,1,1,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,2,1,1,1,1,-1,1,0,1,1,0,1,-1,1,-1,-1,0,0,-1,-1,0,-2,Ghana
94,24,1,1,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,-2,2,2,-2,-2,-2,0,1,2,1,2,2,0,2,0,0,-2,0,1,-1,-1,1,Ghana
95,24,1,1,1,0,0,0,1,1,2,0,,,,,,,,,,2,2,2,-2,-1,1,-1,-2,-2,-2,1,2,2,-2,1,-2,1,-2,-2,-2,-2,-2,1,2,2,Ghana
96,24,1,1,1,0,0,0,1,1,2,0,,,,,,,,,,2,2,2,-2,2,1,-2,-2,2,-2,2,2,2,-2,-2,-2,-2,2,-2,-2,2,-2,-2,1,1,Ghana
97,24,1,1,1,0,0,0,1,1,2,0,,,,,,,,,,2,2,2,-2,2,2,-2,-2,1,-1,2,2,2,-2,-2,-2,1,2,-2,2,2,-2,-2,2,1,Ghana
98,24,1,1,1,0,0,0,1,1,2,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,-1,1,-2,1,2,2,2,2,2,2,2,2,Ghana
99,24,1,1,1,0,0,0,1,1,1,,,,,,,,,,,2,2,2,-1,2,1,-1,2,1,0,2,2,2,2,-1,1,2,-1,1,-2,-1,1,-1,-1,2,Ghana
100,24,1,1,1,0,0,0,1,1,3,,,,,,,,,,,0,1,0,1,1,-1,-2,2,2,-1,1,2,1,1,2,0,1,-1,2,-1,-1,-1,1,2,1,Ghana
101,24,1,1,1,0,0,0,1,1,3,,,,,,,,,,,2,2,2,1,2,2,1,-2,2,1,2,2,2,2,2,-2,2,0,-2,0,-1,-2,1,1,2,Ghana
102,24,1,1,1,0,0,1,1,0,,,,,,,,,,,,1,1,0,0,1,1,1,-1,1,1,1,1,1,0,-1,-2,1,1,-2,-2,-2,-1,-1,1,1,Ghana
103,24,1,1,1,0,0,1,1,1,2,0,,,,,,,,,,0,2,1,-2,2,-1,-2,-1,-2,0,0,2,1,1,2,1,1,0,-1,-2,-1,-2,1,-1,0,Ghana
104,24,1,1,1,0,0,1,1,1,1,,,,,,,,,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,1,1,-1,2,2,0,2,2,2,Ghana
105,24,1,1,1,0,1,0,0,0,,,,,,,,,,,,2,-2,1,1,2,1,-2,2,2,2,2,2,1,2,2,2,2,2,2,1,0,1,1,-1,2,Ghana
106,24,1,1,1,0,1,1,2,0,,,,,,,,,,,,-1,-1,-2,1,1,1,1,0,0,0,2,0,0,0,0,2,0,1,0,-1,0,0,1,1,1,Ghana
107,24,1,1,1,0,1,1,2,1,3,,,,,,,,,,,2,2,2,2,2,1,0,-1,1,-2,2,2,2,2,2,2,2,2,0,0,0,0,1,-1,0,Ghana
108,24,1,1,1,1,0,0,1,1,2,0,,,,,,,,,,1,0,0,1,1,0,-1,2,2,0,1,2,1,1,2,0,2,0,0,-1,-1,1,0,1,2,Ghana
109,24,1,1,1,1,0,0,1,1,2,0,,,,,,,,,,2,2,2,-2,2,1,1,-2,2,2,2,2,2,1,2,-1,-1,-1,-2,2,2,-2,1,2,1,Ghana
110,24,1,1,0,0,0,0,1,0,,,,,,,,,,,,1,2,1,1,2,1,-1,1,-1,1,2,1,1,0,1,-1,0,0,1,1,1,1,1,0,0,Ghana
111,24,1,1,0,0,0,0,1,1,2,1,,,,,,,,,,0,0,-1,0,0,0,0,-2,0,0,-1,2,-2,2,2,1,1,0,0,0,0,-2,1,0,-1,Ghana
112,24,1,1,0,0,0,0,1,1,1,,,,,,,,,,,1,1,1,-2,2,1,-2,2,-1,1,2,2,1,2,2,2,1,2,2,1,0,2,-2,-2,-2,Ghana
113,24,1,1,0,0,0,0,1,1,1,,,,,,,,,,,2,1,2,-2,2,1,-1,2,-2,1,2,2,1,2,2,1,1,1,2,1,1,2,1,0,-2,Ghana
114,24,1,1,0,0,0,0,1,1,1,,,,,,,,,,,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,0,-1,2,1,0,1,1,-1,-1,1,Ghana
115,24,1,1,0,0,0,1,1,1,2,0,,,,,,,,,,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,Ghana
116,24,1,1,0,0,1,0,1,1,3,,,,,,,,,,,2,2,2,0,1,1,1,2,0,1,1,1,2,1,-2,0,0,0,1,0,1,1,0,0,1,Ghana
117,24,1,2,1,0,1,1,1,0,,,,,,,,,,,,2,1,2,2,2,1,1,-2,-1,2,2,2,2,-1,1,-2,-2,-1,1,-1,0,1,2,1,2,Ghana
118,24,,0,2,0,0,0,1,1,1,,,,,,,,,,,1,1,2,-2,2,2,1,-1,1,0,2,2,2,2,2,1,1,1,1,0,0,1,1,1,1,Ghana
119,24,,0,0,0,0,0,1,1,1,,,,,,,,,,,-1,2,0,0,0,2,-2,2,1,0,1,0,0,1,2,-2,2,-1,1,-1,0,2,1,2,0,Ghana
120,24,,1,1,0,0,0,0,0,,,,,,,,,,,,2,1,0,-1,2,2,2,2,2,0,2,2,2,1,2,-1,0,-2,0,0,0,1,1,1,1,Ghana
121,24,,1,1,0,0,0,0,0,,,,,,,,,,,,2,2,2,-2,2,2,2,-1,0,0,2,2,2,-2,-2,-2,-2,2,2,2,2,2,2,2,2,Ghana
122,24,,1,1,0,0,0,2,2,,,,,,,,,,,,2,2,1,0,2,2,1,-2,1,-2,2,2,1,1,2,-1,2,-1,-1,-1,2,-2,1,-1,2,Ghana
123,24,,1,1,0,0,0,1,1,2,0,,,,,,,,,,1,1,1,1,2,2,0,1,1,1,1,1,1,1,1,-1,1,1,1,0,1,1,1,1,1,Ghana
124,24,,1,1,0,0,1,1,1,2,0,,,,,,,,,,-1,-1,-2,-2,-2,-2,-2,0,-2,0,1,0,0,,1,0,0,-1,-2,-2,-2,-2,0,0,-1,Ghana
125,24,,1,1,0,1,1,0,0,,,,,,,,,,,,2,1,0,-1,1,2,1,2,2,1,2,2,2,0,1,-1,0,2,0,-2,-1,1,1,1,2,Ghana
126,24,,1,1,1,0,0,1,1,1,,,,,,,,,,,2,2,1,1,2,0,1,1,0,-1,0,2,1,2,2,1,1,0,1,0,0,-2,1,1,2,Ghana
127,24,,1,1,1,0,2,0,2,,,,,,,,,,,,2,2,2,-2,2,1,1,1,1,-1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,Ghana
128,24,,1,1,1,0,2,0,1,3,,,,,,,,,,,1,1,1,2,0,0,0,2,1,0,0,1,0,0,2,-1,2,-1,0,-2,-1,0,1,1,1,Ghana
129,24,,1,1,1,0,0,1,1,1,,,,,,,,,,,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,0,-1,1,1,1,2,2,2,2,1,Ghana
130,24,,1,1,3,0,0,1,1,1,,,,,,,,,,,1,2,2,2,2,2,0,2,,,2,2,,2,2,-1,2,2,0,2,1,1,-2,-2,0,Ghana
131,24,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ghana
132,24,,1,0,0,0,0,1,1,1,,,,,,,,,,,1,1,1,-2,2,1,-2,2,-1,1,2,2,1,2,2,2,1,2,2,1,0,2,-2,-2,-2,Ghana
133,24,,1,0,0,0,1,1,1,2,1,,,,,,,,,,1,1,1,1,1,1,1,2,1,0,1,2,1,0,1,0,0,0,0,0,0,1,1,1,1,Ghana
134,24,,1,0,2,2,0,1,0,,,,,,,,,,,,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,0,-2,0,0,0,0,1,-1,-1,0,Ghana
135,24,,2,1,2,1,1,1,1,2,1,,,,,,,,,,1,1,2,2,1,2,1,1,1,1,1,1,1,,1,2,1,1,1,1,1,1,2,2,2,Ghana
136,24,,0,,0,0,0,0,0,,,,,,,,,,,,-1,-1,-1,-2,-1,-2,-2,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,Ghana
137,25,2,0,1,1,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,-2,2,2,2,2,2,2,2,-2,2,-2,-2,2,1,-2,2,2,1,Ghana
138,25,2,0,0,0,0,0,1,0,,,,,,,,,,,,2,1,0,-1,2,2,2,2,1,2,2,2,1,2,2,-2,2,2,2,2,2,2,1,1,1,Ghana
139,25,2,0,0,0,0,0,1,0,,,,,,,,,,,,2,1,1,-1,2,1,1,2,1,2,2,2,1,2,2,-1,2,2,2,1,1,1,1,1,-2,Ghana
140,25,2,0,1,0,0,0,2,0,,,,,,,,,,,,2,2,2,-2,2,2,1,2,2,1,2,2,2,2,2,-2,2,0,-1,0,0,0,-1,2,1,Ghana
141,25,2,0,1,0,0,0,1,0,,,,,,,,,,,,1,1,-1,0,0,-2,1,-2,0,1,0,-1,-1,2,2,1,2,-1,0,-1,0,0,-2,1,-1,Ghana
142,25,2,0,1,0,0,0,1,0,,,,,,,,,,,,1,1,2,-1,1,1,1,2,0,0,1,2,2,1,2,-1,2,1,0,0,0,1,2,1,1,Ghana
143,25,2,0,1,0,0,0,1,0,,,,,,,,,,,,2,2,2,-2,2,2,2,-2,-1,-2,2,2,2,2,2,1,1,1,-2,1,1,-2,-2,-2,1,Ghana
144,25,2,0,1,0,0,1,1,1,1,,,,,,,,,,,2,0,-2,0,2,0,1,2,2,0,1,2,1,1,1,-1,1,-2,1,0,1,1,2,2,1,Ghana
145,25,2,0,1,1,0,0,1,1,1,,,,,,,,,,,2,2,1,-1,2,2,2,2,2,1,2,2,2,1,1,-1,2,1,1,2,2,2,1,2,0,Ghana
146,25,2,0,1,1,1,1,1,1,2,1,,,,,,,,,,1,1,2,-2,2,0,2,2,2,-2,2,2,2,2,2,-2,2,2,-1,2,2,1,2,1,1,Ghana
147,25,2,0,1,1,0,0,1,0,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,-2,2,2,2,2,2,-2,2,2,2,2,2,2,2,-1,2,Ghana
148,25,2,0,2,1,0,0,1,0,,,,,,,,,,,,0,2,2,1,2,2,0,-2,2,2,2,2,1,2,2,1,2,1,1,1,-2,1,2,1,1,Ghana
149,25,2,0,2,1,0,0,1,0,,,,,,,,,,,,2,-1,1,-1,2,1,-1,1,1,1,1,2,-1,2,2,1,2,1,-1,1,-1,-1,1,1,1,Ghana
150,25,2,0,0,0,0,0,1,0,,,,,,,,,,,,2,-1,-1,-1,2,2,-2,2,1,-1,1,2,1,2,2,2,1,-1,-1,1,0,0,1,1,1,Ghana
